Student Roll No.,Student Name,Email id,Course,Cohort,Year,Term-1,Term-2,Term-3,No. of JPT Mock Interviews attempted and scored equal or above 80%,Area Head Mock Interview Score,No. of Allocated Interview Attempts,"Categorise student overall (Outstanding, Good, Average, Needs Handholding)",Placed/Not Placed,"If placed, no. of interview attempts required for placement"
SPJ20234444,Student_149_Jul-22,student149@jul-22.spjain.edu,MGB,Jul-22,2023,76.4,92.9,93.9,5,83.0,3,Good,Not Placed,0
SPJ20246251,Student_150_Jan-23,student150@jan-23.spjain.edu,GMBA,Jan-23,2024,71.6,85.1,75.4,5,69.5,8,Average,Not Placed,0
SPJ20247972,Student_151_Jul-24,student151@jul-24.spjain.edu,GCGM,Jul-24,2024,73.1,83.4,94.0,5,86.7,7,Good,Not Placed,0
SPJ20248853,Student_152_Jan-24,student152@jan-24.spjain.edu,GMBA,Jan-24,2024,89.4,92.1,89.1,7,81.4,5,Outstanding,Placed,2
SPJ20237247,Student_153_Jan-23,student153@jan-23.spjain.edu,GCGM,Jan-23,2023,87.0,76.3,75.8,1,87.0,7,Average,Not Placed,0
SPJ20224903,Student_154_Jan-23,student154@jan-23.spjain.edu,GMBA,Jan-23,2022,76.7,92.6,90.8,8,81.2,6,Good,Placed,2
SPJ20224442,Student_155_Jan-22,student155@jan-22.spjain.edu,GMBA,Jan-22,2022,94.4,94.6,86.5,6,82.4,4,Outstanding,Not Placed,0
SPJ20241244,Student_156_Jan-24,student156@jan-24.spjain.edu,GCGM,Jan-24,2024,93.1,87.8,83.9,4,81.6,3,Good,Placed,1
SPJ20229321,Student_157_Jul-22,student157@jul-22.spjain.edu,GCGM,Jul-22,2022,92.2,70.4,87.3,4,82.5,6,Good,Placed,1
SPJ20244102,Student_158_Jan-24,student158@jan-24.spjain.edu,GMBA,Jan-24,2024,91.7,93.0,86.9,8,88.3,3,Outstanding,Placed,2
SPJ20222393,Student_159_Jul-23,student159@jul-23.spjain.edu,MGB,Jul-23,2022,77.2,92.9,75.9,5,77.8,5,Good,Not Placed,0
SPJ20226183,Student_160_Jan-24,student160@jan-24.spjain.edu,GMBA,Jan-24,2022,89.7,76.9,89.6,7,88.2,4,Good,Placed,4
SPJ20221057,Student_161_Jan-22,student161@jan-22.spjain.edu,GMBA,Jan-22,2022,70.1,88.3,94.9,4,91.1,6,Good,Not Placed,0
SPJ20237388,Student_162_Jan-23,student162@jan-23.spjain.edu,MGB,Jan-23,2023,93.8,84.7,80.9,3,83.1,8,Good,Placed,4
SPJ20224683,Student_163_Jan-23,student163@jan-23.spjain.edu,MGB,Jan-23,2022,71.8,92.6,79.8,3,77.4,3,Good,Not Placed,0
SPJ20231246,Student_164_Jan-22,student164@jan-22.spjain.edu,MGB,Jan-22,2023,83.5,72.5,85.4,5,75.8,7,Good,Placed,5
SPJ20227639,Student_165_Jan-24,student165@jan-24.spjain.edu,MGB,Jan-24,2022,80.7,83.7,77.4,2,78.2,8,Good,Placed,5
SPJ20242938,Student_166_Jul-23,student166@jul-23.spjain.edu,GCGM,Jul-23,2024,81.5,70.4,75.9,4,77.1,7,Average,Not Placed,0
SPJ20248430,Student_167_Jan-24,student167@jan-24.spjain.edu,MGB,Jan-24,2024,86.5,82.1,85.4,3,75.3,7,Good,Placed,3
SPJ20236873,Student_168_Jan-24,student168@jan-24.spjain.edu,GCGM,Jan-24,2023,92.4,70.6,84.9,2,73.1,3,Good,Placed,3
SPJ20241095,Student_169_Jul-24,student169@jul-24.spjain.edu,MGB,Jul-24,2024,84.4,90.8,74.7,1,79.3,3,Average,Not Placed,0
SPJ20225764,Student_170_Jan-23,student170@jan-23.spjain.edu,GMBA,Jan-23,2022,93.5,89.6,79.0,7,83.7,3,Good,Placed,2
SPJ20243370,Student_171_Jan-22,student171@jan-22.spjain.edu,GMBA,Jan-22,2024,88.7,82.2,79.6,2,89.2,3,Good,Placed,3
SPJ20248823,Student_172_Jan-22,student172@jan-22.spjain.edu,MGB,Jan-22,2024,87.8,80.1,73.4,3,74.0,4,Good,Not Placed,0
SPJ20242724,Student_173_Jan-24,student173@jan-24.spjain.edu,MGB,Jan-24,2024,71.9,71.3,87.7,3,81.4,5,Average,Placed,2
SPJ20243318,Student_174_Jan-23,student174@jan-23.spjain.edu,GMBA,Jan-23,2024,77.3,82.2,90.9,3,82.2,7,Good,Placed,5
SPJ20237717,Student_175_Jan-23,student175@jan-23.spjain.edu,GCGM,Jan-23,2023,90.8,87.8,70.5,1,74.3,6,Average,Placed,3
SPJ20236375,Student_176_Jan-22,student176@jan-22.spjain.edu,MGB,Jan-22,2023,74.3,90.7,77.0,4,90.5,7,Good,Placed,5
