Student Name,Student _mail id,Course,Cohort,Placed/Not Placed,CGPA,AI Tutor Usage,AI Mentor Usage,JPT Usage,Yoodli Usage
Student_63_Jan-23,student63@jan-24.spjain.edu,GMBA,Jan-24,Placed,3.86,Medium,High,Low,High
Student_64_Jan-23,student64@jul-23.spjain.edu,MGB,Jan-22,Not Placed,3.02,Medium,High,None,Low
Student_65_Jul-24,student65@jul-23.spjain.edu,GMBA,Jul-23,Not Placed,2.93,High,High,Low,None
Student_66_Jul-22,student66@jul-22.spjain.edu,MGB,Jul-23,Not Placed,2.6,High,None,None,High
Student_67_Jul-24,student67@jan-23.spjain.edu,MGB,Jul-22,Not Placed,3.57,Low,Low,Low,High
Student_68_Jan-23,student68@jan-24.spjain.edu,MGB,Jan-22,Not Placed,3.75,Medium,High,High,Low
Student_69_Jan-22,student69@jan-22.spjain.edu,GCGM,Jan-23,Not Placed,3.93,High,None,Medium,High
Student_70_Jul-22,student70@jul-23.spjain.edu,GMBA,Jul-24,Placed,2.54,Medium,High,None,Medium
Student_71_Jan-24,student71@jul-23.spjain.edu,GMBA,Jul-23,Not Placed,3.44,High,None,Medium,None
Student_72_Jan-23,student72@jul-22.spjain.edu,GMBA,Jan-22,Placed,2.98,Low,Medium,Low,None
Student_73_Jan-23,student73@jan-23.spjain.edu,MGB,Jul-24,Not Placed,2.57,Medium,None,Low,Low
Student_74_Jan-22,student74@jan-24.spjain.edu,GCGM,Jan-24,Not Placed,3.81,Medium,Medium,Medium,None
Student_75_Jan-24,student75@jan-24.spjain.edu,MGB,Jul-22,Placed,2.71,Medium,Medium,High,High
Student_76_Jan-23,student76@jul-22.spjain.edu,GCGM,Jul-22,Placed,3.26,Low,None,High,High
Student_77_Jan-22,student77@jan-22.spjain.edu,GCGM,Jan-22,Not Placed,3.02,Medium,Low,High,Medium
Student_78_Jul-22,student78@jul-24.spjain.edu,MGB,Jan-22,Placed,2.83,Low,Low,Medium,Low
Student_79_Jul-22,student79@jul-22.spjain.edu,GCGM,Jul-23,Placed,2.62,High,High,None,Low
Student_80_Jan-22,student80@jan-22.spjain.edu,GMBA,Jan-24,Placed,3.2,Medium,None,None,Medium
Student_81_Jul-24,student81@jan-22.spjain.edu,GCGM,Jan-22,Placed,3.38,Low,Low,Medium,None
Student_82_Jan-22,student82@jul-22.spjain.edu,GMBA,Jan-23,Not Placed,3.03,Low,None,None,None
Student_83_Jan-24,student83@jul-22.spjain.edu,GMBA,Jul-22,Not Placed,2.76,None,None,Low,High
Student_84_Jan-23,student84@jul-24.spjain.edu,GMBA,Jul-22,Not Placed,3.51,None,Low,Medium,High
Student_85_Jul-23,student85@jul-22.spjain.edu,GMBA,Jul-22,Not Placed,2.67,Medium,None,High,None
Student_86_Jan-24,student86@jul-22.spjain.edu,MGB,Jan-23,Not Placed,3.34,None,None,Medium,High
Student_87_Jan-22,student87@jul-23.spjain.edu,MGB,Jul-23,Not Placed,3.53,High,Low,High,Medium
Student_88_Jul-23,student88@jul-22.spjain.edu,GCGM,Jul-23,Not Placed,2.77,High,None,High,High
Student_89_Jan-24,student89@jul-24.spjain.edu,GMBA,Jan-22,Placed,2.72,High,None,Low,None
Student_90_Jan-23,student90@jul-22.spjain.edu,MGB,Jul-22,Not Placed,2.68,High,High,Medium,Medium
Student_91_Jul-24,student91@jul-23.spjain.edu,MGB,Jul-23,Not Placed,3.98,Medium,Low,High,None
Student_92_Jan-22,student92@jan-23.spjain.edu,MGB,Jul-23,Placed,3.44,Low,None,None,None
Student_93_Jan-22,student93@jul-23.spjain.edu,GMBA,Jan-22,Placed,3.07,Medium,Low,Medium,None
Student_94_Jan-22,student94@jul-24.spjain.edu,GMBA,Jul-23,Not Placed,2.8,High,High,Medium,Medium
Student_95_Jan-24,student95@jan-24.spjain.edu,GCGM,Jan-22,Not Placed,3.82,None,High,High,Medium
Student_96_Jul-23,student96@jul-23.spjain.edu,MGB,Jan-22,Placed,2.77,Medium,Low,High,High
Student_97_Jul-22,student97@jan-23.spjain.edu,GMBA,Jul-23,Not Placed,3.65,High,High,High,Low
Student_98_Jan-24,student98@jan-22.spjain.edu,MGB,Jan-23,Not Placed,3.39,High,Medium,Medium,Medium
Student_99_Jan-22,student99@jan-22.spjain.edu,GMBA,Jan-22,Placed,3.76,Medium,None,Medium,High
Student_100_Jan-22,student100@jul-23.spjain.edu,MGB,Jan-23,Not Placed,3.03,Low,Low,Low,Medium
Student_101_Jan-24,student101@jan-22.spjain.edu,GMBA,Jan-22,Not Placed,2.67,Low,None,Medium,None
Student_102_Jul-23,student102@jul-24.spjain.edu,MGB,Jan-24,Not Placed,2.9,High,None,Medium,High
Student_103_Jan-24,student103@jul-23.spjain.edu,MGB,Jan-24,Placed,3.71,None,Low,Medium,High
Student_104_Jan-24,student104@jul-24.spjain.edu,MGB,Jul-22,Not Placed,3.05,High,Low,High,None
Student_105_Jan-24,student105@jul-22.spjain.edu,MGB,Jan-23,Placed,2.95,High,Low,None,None
Student_106_Jan-24,student106@jan-23.spjain.edu,MGB,Jan-22,Not Placed,3.14,Medium,None,Medium,Medium
Student_107_Jul-23,student107@jul-24.spjain.edu,GMBA,Jan-23,Placed,3.12,Medium,High,Low,None
Student_108_Jul-24,student108@jul-24.spjain.edu,GMBA,Jul-22,Not Placed,2.82,High,Medium,High,None
Student_109_Jan-24,student109@jul-22.spjain.edu,MGB,Jul-23,Placed,2.86,Medium,High,High,Medium
Student_110_Jan-22,student110@jul-24.spjain.edu,GCGM,Jul-23,Not Placed,3.74,Low,Medium,Low,High
Student_111_Jul-22,student111@jan-22.spjain.edu,GCGM,Jul-22,Placed,2.87,Medium,High,High,High
Student_112_Jul-23,student112@jul-24.spjain.edu,GCGM,Jul-22,Placed,2.91,None,Medium,Medium,Low
Student_113_Jul-24,student113@jan-22.spjain.edu,GMBA,Jul-23,Placed,2.58,None,Medium,Medium,None
Student_114_Jul-23,student114@jan-23.spjain.edu,GMBA,Jul-24,Placed,3.1,Low,Low,None,None
Student_115_Jan-24,student115@jul-24.spjain.edu,GMBA,Jan-24,Not Placed,3.24,None,Low,None,Medium
Student_116_Jan-23,student116@jan-24.spjain.edu,GMBA,Jul-23,Placed,3.9,Low,Low,None,Low
Student_117_Jul-22,student117@jan-23.spjain.edu,MGB,Jul-23,Not Placed,3.79,None,High,Medium,None
Student_118_Jan-23,student118@jan-24.spjain.edu,MGB,Jul-23,Placed,3.94,Low,Medium,High,Medium
Student_119_Jan-23,student119@jan-22.spjain.edu,GMBA,Jan-24,Placed,3.76,None,Low,Medium,High
Student_120_Jan-23,student120@jul-24.spjain.edu,GMBA,Jan-23,Placed,3.3,Low,High,High,None
Student_121_Jul-23,student121@jan-23.spjain.edu,MGB,Jan-22,Placed,2.95,Low,High,Medium,High
Student_122_Jan-22,student122@jan-23.spjain.edu,GCGM,Jul-23,Not Placed,3.61,Medium,High,None,Low
Student_123_Jul-24,student123@jan-23.spjain.edu,GMBA,Jan-22,Not Placed,3.13,Medium,High,None,None
Student_124_Jul-24,student124@jul-24.spjain.edu,GCGM,Jul-24,Not Placed,3.69,Low,None,High,Low
Student_125_Jul-24,student125@jan-23.spjain.edu,MGB,Jan-24,Placed,2.67,Low,Low,High,Medium
Student_126_Jul-23,student126@jul-23.spjain.edu,GMBA,Jul-22,Not Placed,2.76,Medium,Medium,Low,None
Student_127_Jul-23,student127@jan-23.spjain.edu,GCGM,Jul-23,Not Placed,3.92,Low,None,None,Low
Student_128_Jan-22,student128@jul-23.spjain.edu,GCGM,Jan-23,Placed,2.57,High,Medium,Low,None
Student_129_Jan-23,student129@jul-22.spjain.edu,GMBA,Jan-22,Placed,3.58,High,High,High,None
Student_130_Jul-22,student130@jul-24.spjain.edu,GCGM,Jul-22,Not Placed,2.93,High,High,Low,High
Student_131_Jul-22,student131@jan-24.spjain.edu,GCGM,Jan-23,Placed,3.13,High,Low,None,Medium
Student_132_Jan-23,student132@jul-22.spjain.edu,GMBA,Jul-23,Placed,3.05,High,None,None,High
Student_133_Jul-22,student133@jan-23.spjain.edu,GMBA,Jul-23,Placed,3.57,High,Medium,None,None
Student_134_Jan-24,student134@jan-22.spjain.edu,GCGM,Jan-23,Placed,3.21,Medium,None,None,Medium
Student_135_Jan-24,student135@jan-24.spjain.edu,MGB,Jan-23,Not Placed,3.51,Low,None,Low,Medium
Student_136_Jul-22,student136@jan-24.spjain.edu,MGB,Jan-23,Not Placed,2.7,Medium,High,Low,Medium
Student_137_Jan-22,student137@jan-23.spjain.edu,GCGM,Jul-22,Not Placed,3.81,Medium,Medium,High,Medium
Student_138_Jan-23,student138@jan-24.spjain.edu,MGB,Jan-24,Not Placed,3.15,Low,Medium,High,Low
Student_139_Jan-24,student139@jul-24.spjain.edu,GMBA,Jul-23,Placed,2.78,None,Low,Low,None
Student_140_Jul-23,student140@jan-23.spjain.edu,GCGM,Jul-24,Not Placed,3.15,High,None,High,Medium
Student_141_Jul-24,student141@jan-24.spjain.edu,MGB,Jul-23,Not Placed,2.67,Low,None,Medium,None
Student_142_Jul-22,student142@jan-23.spjain.edu,GCGM,Jul-22,Not Placed,3.34,Low,None,Low,High
Student_143_Jan-22,student143@jul-22.spjain.edu,MGB,Jul-24,Placed,3.83,None,Medium,None,High
Student_144_Jan-23,student144@jan-24.spjain.edu,GCGM,Jan-23,Placed,2.54,High,High,High,Medium
Student_145_Jan-24,student145@jul-24.spjain.edu,GCGM,Jan-23,Placed,3.48,High,Medium,Low,Low
Student_146_Jan-22,student146@jul-24.spjain.edu,MGB,Jan-23,Placed,3.62,High,None,High,Medium
Student_147_Jul-22,student147@jul-22.spjain.edu,MGB,Jan-22,Placed,3.78,Low,High,High,Medium
Student_148_Jul-24,student148@jul-24.spjain.edu,GCGM,Jan-22,Not Placed,3.24,High,Medium,Low,Medium
Student_149_Jul-24,student149@jan-22.spjain.edu,MGB,Jan-24,Placed,3.23,High,High,Medium,High
Student_150_Jan-22,student150@jul-23.spjain.edu,MGB,Jan-24,Placed,3.15,High,None,None,Medium
Student_151_Jul-23,student151@jul-24.spjain.edu,GCGM,Jul-24,Placed,3.9,None,Medium,High,High
Student_152_Jan-22,student152@jul-23.spjain.edu,MGB,Jul-22,Placed,3.53,Medium,Low,High,Medium
Student_153_Jan-24,student153@jan-22.spjain.edu,GMBA,Jan-22,Placed,3.27,High,High,None,High
Student_154_Jul-24,student154@jul-24.spjain.edu,GMBA,Jan-23,Not Placed,2.88,None,None,None,High
Student_155_Jul-22,student155@jul-22.spjain.edu,MGB,Jan-22,Placed,3.12,Medium,Medium,High,High
Student_156_Jan-24,student156@jan-23.spjain.edu,MGB,Jul-22,Placed,2.78,Medium,None,High,None
Student_157_Jan-22,student157@jul-23.spjain.edu,GCGM,Jan-22,Placed,3.48,High,High,High,Medium
Student_158_Jan-24,student158@jan-24.spjain.edu,MGB,Jul-24,Not Placed,3.71,None,Low,Low,None
Student_159_Jul-22,student159@jan-22.spjain.edu,GCGM,Jul-24,Placed,3.79,Low,High,Low,Low
Student_160_Jul-23,student160@jul-24.spjain.edu,GMBA,Jul-22,Placed,2.95,High,Low,High,High
Student_161_Jan-22,student161@jan-22.spjain.edu,GCGM,Jul-22,Not Placed,3.95,High,None,High,Low
Student_162_Jul-22,student162@jan-23.spjain.edu,GMBA,Jul-23,Placed,3.0,None,High,High,High
Student_163_Jul-24,student163@jan-24.spjain.edu,GMBA,Jul-24,Not Placed,2.56,High,High,High,Low
Student_164_Jul-24,student164@jan-22.spjain.edu,GMBA,Jan-22,Not Placed,3.36,None,Medium,High,High
Student_165_Jan-22,student165@jul-23.spjain.edu,GMBA,Jul-24,Not Placed,3.17,High,None,Low,Medium
Student_166_Jul-24,student166@jul-22.spjain.edu,MGB,Jan-23,Not Placed,2.85,Low,Medium,High,Low
Student_167_Jan-23,student167@jul-24.spjain.edu,GMBA,Jul-23,Not Placed,3.75,Medium,High,Low,Low
Student_168_Jan-23,student168@jul-24.spjain.edu,GMBA,Jan-22,Not Placed,2.69,Low,Low,High,None
Student_169_Jul-23,student169@jul-23.spjain.edu,MGB,Jul-22,Placed,3.34,None,Medium,Medium,Medium
Student_170_Jul-24,student170@jul-22.spjain.edu,GCGM,Jan-24,Placed,3.71,Medium,High,None,Low
Student_171_Jan-22,student171@jan-24.spjain.edu,GCGM,Jul-23,Not Placed,3.99,Medium,None,Medium,Low
Student_172_Jul-24,student172@jan-24.spjain.edu,GMBA,Jul-24,Placed,3.56,High,High,None,None
Student_173_Jan-24,student173@jan-24.spjain.edu,GCGM,Jan-24,Placed,3.26,Low,None,Low,Medium
Student_174_Jul-22,student174@jul-24.spjain.edu,MGB,Jul-24,Not Placed,3.64,High,None,Low,Medium
Student_175_Jan-23,student175@jul-22.spjain.edu,GCGM,Jul-22,Not Placed,3.95,None,Low,High,Medium
Student_176_Jan-23,student176@jan-24.spjain.edu,GCGM,Jan-22,Not Placed,3.06,High,Medium,Low,Low
Student_177_Jan-24,student177@jul-23.spjain.edu,GCGM,Jul-22,Not Placed,3.12,High,High,Medium,None
Student_178_Jul-23,student178@jul-22.spjain.edu,GCGM,Jul-24,Placed,2.63,Medium,High,Low,High
Student_179_Jan-22,student179@jul-23.spjain.edu,GCGM,Jul-24,Placed,3.85,None,Medium,High,High
Student_180_Jul-24,student180@jul-24.spjain.edu,GMBA,Jan-23,Not Placed,3.86,None,Medium,Low,High
Student_181_Jul-23,student181@jul-24.spjain.edu,GCGM,Jan-24,Not Placed,3.55,High,Low,Medium,None
Student_182_Jan-22,student182@jan-24.spjain.edu,MGB,Jul-23,Placed,3.28,Medium,Low,None,Medium
Student_183_Jan-24,student183@jan-23.spjain.edu,GMBA,Jul-22,Placed,2.54,Medium,Low,Medium,High
Student_184_Jan-24,student184@jan-22.spjain.edu,GMBA,Jan-22,Not Placed,2.89,Medium,None,None,None
Student_185_Jul-23,student185@jan-23.spjain.edu,GMBA,Jul-24,Placed,3.18,Low,Low,Medium,Medium
Student_186_Jan-23,student186@jul-24.spjain.edu,GMBA,Jan-24,Placed,3.57,Low,None,Medium,Low
Student_187_Jan-23,student187@jul-23.spjain.edu,GCGM,Jul-22,Not Placed,3.74,None,None,None,High
Student_188_Jul-22,student188@jul-23.spjain.edu,GCGM,Jul-23,Placed,3.05,High,High,Medium,High
Student_189_Jul-24,student189@jul-23.spjain.edu,MGB,Jul-24,Not Placed,3.6,High,Low,Low,Low
Student_190_Jul-23,student190@jul-24.spjain.edu,MGB,Jul-22,Placed,3.54,High,High,None,Low
Student_191_Jan-24,student191@jan-23.spjain.edu,GCGM,Jan-24,Not Placed,2.67,Medium,Medium,None,Low
Student_192_Jan-22,student192@jan-23.spjain.edu,MGB,Jan-23,Not Placed,2.94,None,Low,Low,High
Student_193_Jan-22,student193@jan-23.spjain.edu,MGB,Jul-22,Placed,3.73,High,None,None,Medium
Student_194_Jan-22,student194@jan-22.spjain.edu,MGB,Jul-23,Not Placed,3.35,Medium,High,High,Low
Student_195_Jul-22,student195@jan-24.spjain.edu,GMBA,Jul-23,Not Placed,3.5,Low,Medium,None,High
Student_196_Jul-23,student196@jul-22.spjain.edu,MGB,Jan-23,Placed,3.94,High,Medium,None,Low
Student_197_Jul-24,student197@jan-22.spjain.edu,GMBA,Jul-24,Not Placed,3.34,None,None,Low,None
Student_198_Jan-24,student198@jan-24.spjain.edu,GCGM,Jul-23,Placed,2.68,Low,None,Medium,Low
Student_199_Jul-22,student199@jul-24.spjain.edu,GMBA,Jul-23,Placed,3.71,Medium,High,None,High
Student_200_Jan-22,student200@jan-23.spjain.edu,MGB,Jul-22,Not Placed,2.54,Medium,High,Medium,None
Student_201_Jan-22,student201@jan-22.spjain.edu,GMBA,Jul-22,Not Placed,2.72,Medium,None,Low,Medium
Student_202_Jul-23,student202@jul-24.spjain.edu,GCGM,Jan-22,Not Placed,2.77,None,Medium,High,None
Student_203_Jan-23,student203@jul-22.spjain.edu,MGB,Jan-23,Not Placed,3.06,None,None,Low,Low
Student_204_Jan-24,student204@jan-24.spjain.edu,GCGM,Jul-23,Not Placed,3.92,Medium,None,Medium,High
Student_205_Jan-24,student205@jul-23.spjain.edu,GCGM,Jul-23,Placed,3.11,Low,None,Medium,None
Student_206_Jul-22,student206@jan-24.spjain.edu,GMBA,Jul-22,Not Placed,3.35,High,None,Low,Low
Student_207_Jan-23,student207@jan-24.spjain.edu,GCGM,Jul-22,Not Placed,3.94,High,None,None,High
Student_208_Jan-24,student208@jan-23.spjain.edu,GMBA,Jul-22,Placed,2.59,High,Medium,Medium,High
Student_209_Jan-23,student209@jul-24.spjain.edu,GCGM,Jan-24,Not Placed,2.57,None,Medium,None,High
Student_210_Jul-24,student210@jan-22.spjain.edu,GCGM,Jul-24,Not Placed,3.82,Low,Medium,Medium,Medium
Student_211_Jul-24,student211@jul-23.spjain.edu,MGB,Jul-22,Not Placed,3.01,High,Medium,None,Low
Student_212_Jul-24,student212@jan-22.spjain.edu,GMBA,Jul-23,Placed,3.85,Low,High,High,High
Student_213_Jan-24,student213@jan-22.spjain.edu,GMBA,Jul-24,Placed,3.31,High,None,Medium,High
Student_214_Jan-24,student214@jan-23.spjain.edu,MGB,Jul-22,Placed,2.69,Medium,Low,High,None
Student_215_Jul-22,student215@jul-24.spjain.edu,GCGM,Jan-23,Not Placed,2.79,Medium,Low,Low,High
Student_216_Jan-23,student216@jan-22.spjain.edu,MGB,Jul-23,Placed,2.51,High,None,Medium,High
Student_217_Jul-22,student217@jan-24.spjain.edu,GCGM,Jul-24,Placed,2.6,Low,None,Low,Medium
Student_218_Jan-24,student218@jul-22.spjain.edu,GMBA,Jul-24,Not Placed,2.79,None,Medium,High,None
Student_219_Jul-23,student219@jul-24.spjain.edu,GMBA,Jul-24,Placed,3.78,Medium,High,High,Medium
Student_220_Jan-22,student220@jul-24.spjain.edu,GMBA,Jul-23,Not Placed,3.04,None,Low,None,Medium
Student_221_Jul-23,student221@jan-24.spjain.edu,MGB,Jan-23,Placed,3.09,Medium,None,None,Low
Student_222_Jul-24,student222@jul-23.spjain.edu,GCGM,Jul-22,Placed,2.75,Medium,None,None,None
Student_223_Jul-23,student223@jul-23.spjain.edu,GCGM,Jan-24,Not Placed,3.76,Low,None,High,Low
Student_224_Jan-23,student224@jan-22.spjain.edu,MGB,Jan-24,Placed,3.92,High,None,High,None
Student_225_Jan-22,student225@jan-22.spjain.edu,GCGM,Jul-23,Not Placed,3.84,None,Low,None,High
Student_226_Jan-22,student226@jan-23.spjain.edu,GMBA,Jul-24,Not Placed,2.6,None,None,Medium,High
Student_227_Jul-23,student227@jan-22.spjain.edu,GMBA,Jul-23,Placed,3.8,None,High,High,High
Student_228_Jul-23,student228@jan-24.spjain.edu,GMBA,Jan-22,Not Placed,3.48,None,High,Medium,Low
Student_229_Jan-22,student229@jan-22.spjain.edu,GCGM,Jan-24,Placed,3.39,Low,Low,Medium,Medium
Student_230_Jul-23,student230@jul-23.spjain.edu,GMBA,Jan-24,Not Placed,2.78,Low,None,None,Low
Student_231_Jan-23,student231@jan-24.spjain.edu,MGB,Jan-24,Not Placed,2.97,Low,Low,High,Medium
Student_232_Jan-24,student232@jan-23.spjain.edu,MGB,Jan-23,Placed,3.28,Low,None,Low,None
Student_233_Jul-23,student233@jan-23.spjain.edu,GCGM,Jul-22,Placed,3.68,Medium,Low,High,High
Student_234_Jan-24,student234@jul-24.spjain.edu,MGB,Jan-24,Not Placed,3.42,High,Medium,Low,None
Student_235_Jul-23,student235@jan-22.spjain.edu,MGB,Jul-22,Placed,3.46,Low,High,Low,Low
Student_236_Jul-23,student236@jul-24.spjain.edu,MGB,Jul-24,Not Placed,2.81,Low,None,Medium,None
Student_237_Jan-22,student237@jan-23.spjain.edu,GCGM,Jan-24,Placed,2.71,High,Low,Medium,None
Student_238_Jan-22,student238@jul-22.spjain.edu,GCGM,Jan-23,Placed,2.83,Medium,Low,Medium,Low
Student_239_Jul-22,student239@jul-22.spjain.edu,GCGM,Jul-22,Not Placed,3.87,None,Low,High,None
Student_240_Jan-23,student240@jul-22.spjain.edu,MGB,Jul-23,Placed,3.05,Medium,Low,High,None
Student_241_Jan-22,student241@jul-22.spjain.edu,GCGM,Jul-22,Placed,3.3,Medium,Medium,High,Low
Student_242_Jan-22,student242@jan-24.spjain.edu,GMBA,Jul-22,Not Placed,3.68,Medium,Low,None,Medium
Student_243_Jul-22,student243@jan-24.spjain.edu,GMBA,Jul-23,Placed,3.59,High,None,Low,High
Student_244_Jul-24,student244@jan-24.spjain.edu,MGB,Jul-23,Not Placed,2.77,Medium,High,High,High
Student_245_Jan-23,student245@jan-24.spjain.edu,MGB,Jul-24,Placed,2.81,Low,High,Low,High
